Original ID,Original Name,Replacement Name,Score,GIF URL,Target Muscles,Equipment,Alternatives
45,"Barbell Overhead Press","barbell seated overhead press",250.0,"https://static.exercisedb.dev/media/kTbSH9h.gif","delts","barbell","barbell seated behind head military press(233); barbell standing close grip military press(223); barbell standing bradford press(223)"
47,"Barbell Bicep Curl","ez-barbell standing wide grip biceps curl",243.3,"https://static.exercisedb.dev/media/OVTZ65k.gif","biceps","ez barbell","barbell biceps curl (with arm blaster)(243); barbell standing wide grip biceps curl(243); barbell alternate biceps curl(243)"
49,"Band Glute Bridge","glute bridge two legs on bench (male)",183.3,"https://static.exercisedb.dev/media/aWedzZX.gif","glutes","body weight","barbell glute bridge(183); barbell glute bridge two legs on bench (male)(183); glute bridge march(183)"
50,"Band Lateral Walk","band stiff leg deadlift",106.7,"https://static.exercisedb.dev/media/kuMiR2T.gif","glutes","band","band step-up(107); band hip lift(107); resistance band hip thrusts on knees (female)(107)"
52,"Band Pull-Apart","band assisted pull-up",118.3,"https://static.exercisedb.dev/media/r1XNRYB.gif","lats","band","band close-grip pulldown(102); band fixed back close grip pulldown(102); band underhand pulldown(102)"
55,"Walking","walking lunge",325.0,"https://static.exercisedb.dev/media/IZVHb27.gif","glutes","body weight","walking high knees lunge(325); walking on stepmill(275); walking on incline treadmill(275)"
61,"Child's Pose","seated wide angle pose sequence",70.0,"https://static.exercisedb.dev/media/HIgYKAB.gif","hamstrings","body weight","butterfly yoga pose(70); one arm against wall(65); archer pull up(65)"
62,"Hip Flexor Stretch","exercise ball hip flexor stretch",390.0,"https://static.exercisedb.dev/media/2LQkNPW.gif","glutes","stability ball","exercise ball hip flexor stretch pointed(390); intermediate hip flexor and quad stretch(200); all fours squad stretch(197)"
64,"Doorway Chest Stretch","chest stretch with exercise ball",188.3,"https://static.exercisedb.dev/media/ykA5tU7.gif","pectorals","stability ball","dynamic chest stretch (male)(188); behind head chest stretch(188); chest and front of shoulder stretch(188)"
65,"90/90 Hip Stretch","iron cross stretch",206.7,"https://static.exercisedb.dev/media/pZwUsKB.gif","glutes","body weight","seated piriformis stretch(207); seated glute stretch(207); rocking frog stretch(207)"
66,"Thoracic Spine Rotation","one arm against wall",60.0,"https://static.exercisedb.dev/media/ZZTGMKh.gif","lats","body weight","archer pull up(60); standing lateral stretch(60); side-to-side chin(60)"
68,"Donkey Kick","push-up inside leg kick",220.0,"https://static.exercisedb.dev/media/0br45wL.gif","glutes","body weight","kick out sit(220); outside leg kick push-up(220); swimmer kicks v. 2 (male)(195)"
70,"Scapular Push-Up","incline scapula push up",185.0,"https://static.exercisedb.dev/media/GdMa1ET.gif","serratus anterior","body weight","scapula push-up(185); high style scapula push-up(185); push-up inside leg kick(170)"
79,"Kettlebell Turkish Get-Up","kettlebell turkish get up (squat style)",310.0,"https://static.exercisedb.dev/media/Ha7SZ3y.gif","glutes","kettlebell","kettlebell alternating press(92); kettlebell double windmill(92); kettlebell one arm jerk(92)"
81,"Kettlebell Press","kettlebell alternating press",250.0,"https://static.exercisedb.dev/media/5KLbZWx.gif","delts","kettlebell","kettlebell seesaw press(250); kettlebell one arm military press to the side(250); kettlebell seated press(250)"
82,"Kettlebell Row","kettlebell alternating row",220.0,"https://static.exercisedb.dev/media/Ca76jUE.gif","upper back","kettlebell","kettlebell two arm row(220); kettlebell one arm row(220); intense kettlebell two arm row(220)"
93,"Hollow Body Hold","bridge - mountain climber (cross body)",96.7,"https://static.exercisedb.dev/media/9c6T1YX.gif","abs","body weight","cross body crunch(87); flutter kicks(80); bottoms-up(70)"
97,"Bridge March","glute bridge march",450.0,"https://static.exercisedb.dev/media/GibBPPg.gif","glutes","body weight","bridge - mountain climber (cross body)(220); single leg bridge with outstretched leg(210); glute bridge two legs on bench (male)(210)"
98,"Dumbbell Chest Fly","dumbbell one arm chest fly on exercise ball",245.0,"https://static.exercisedb.dev/media/Bpkf41o.gif","pectorals","dumbbell","dumbbell rotation reverse fly(218); dumbbell decline twist fly(218); dumbbell reverse fly(218)"
103,"Dumbbell Tricep Kickback","dumbbell tricep kickback with stork stance",460.0,"https://static.exercisedb.dev/media/wOLmCXc.gif","triceps","dumbbell","dumbbell standing alternating tricep kickback(260); dumbbell kickback(233); dumbbell seated one arm kickback(233)"
105,"Dumbbell Hip Thrust","resistance band hip thrusts on knees (female)",166.7,"https://static.exercisedb.dev/media/Pjbc0Kt.gif","glutes","resistance band","barbell thruster(120); dumbbell contralateral forward lunge(107); dumbbell single leg squat(107)"
107,"Dumbbell Floor Press","dumbbell one arm decline chest press",233.3,"https://static.exercisedb.dev/media/REGM1dE.gif","pectorals","dumbbell","dumbbell bench press(233); dumbbell lying one arm press v. 2(233); dumbbell incline one arm press(233)"
117,"Barbell Landmine Press","barbell press sit-up",213.3,"https://static.exercisedb.dev/media/wnEscH8.gif","abs","barbell","barbell standing close grip military press(213); barbell incline bench press(213); barbell reverse grip incline bench press(213)"
118,"Band Squat with Abduction","band single leg split squat",233.3,"https://static.exercisedb.dev/media/y8bYM8w.gif","quads","band","band one arm single leg split squat(233); band squat(218); band squat row(218)"
122,"Band Face Pull","band assisted pull-up",118.3,"https://static.exercisedb.dev/media/r1XNRYB.gif","lats","band","band close-grip pulldown(102); band fixed back close grip pulldown(102); band underhand pulldown(102)"
124,"Band Upright Row","band standing rear delt row",218.3,"https://static.exercisedb.dev/media/tc5dYrf.gif","delts","band","band one arm standing low row(183); cable upright row(183); barbell wide-grip upright row(183)"
127,"Band Leg Press","band horizontal pallof press",225.0,"https://static.exercisedb.dev/media/9pa4H5m.gif","abs","band","band vertical pallof press(225); band vertical pallof press - seated variation(225); band one arm twisting chest press(210)"
132,"Rowing Machine","chin-ups (narrow parallel grip)",115.0,"https://static.exercisedb.dev/media/G70mEAJ.gif","upper back","body weight","inverted row bent knees(100); barbell reverse grip incline bench row(100); smith narrow row(100)"
136,"Sled Push","push-up inside leg kick",70.0,"https://static.exercisedb.dev/media/0br45wL.gif","glutes","body weight","sled 45в° leg wide press(70); sled 45в° leg press (back pov)(70); spider crawl push up(70)"
